"Product","Blackbox flight data recorder by Nicholas Sherlock"
660,34900436,15,-4,0,0,0,0,-2,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1623,42,723,1,0,0,-48,-93,2027,0,1,0,0,158,183,205,229,524291,0,0,1,1,-0.05324380118142061,0.017152591247065058,4.396439641685264,13,-6,0,15,-4,0,0,14,-4,0,158,183,205,229
662,34901051,15,-4,0,0,0,0,-2,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,1,1,-1,-49,-91,2028,0,1,0,0,158,187,204,233,524291,0,0,1,1,-0.05320047341913352,0.017189978592035828,4.39645094005285,13,-7,0,15,-4,0,0,14,-5,1,158,187,204,233
664,34901668,14,-5,0,0,0,0,-3,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,1,1,-1,-49,-91,2028,1,0,0,0,158,189,202,234,524291,0,0,1,1,-0.05315735421887522,0.017227192523020494,4.3964622743281545,11,-9,0,15,-4,0,0,14,-5,1,158,189,202,234
666,34902286,15,-5,0,0,0,0,-2,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,1,1,-1,-50,-93,2031,0,-1,0,0,158,188,204,236,524291,0,0,1,1,-0.05311798031682057,0.01726603126865985,4.396473625473334,13,-9,0,15,-4,0,0,14,-5,1,158,188,204,236
668,34902903,15,-4,0,0,0,0,-1,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,1,1,0,-50,-93,2031,-1,-1,0,0,158,185,208,237,524291,0,0,1,1,-0.05307865597057053,0.0173052086319215,4.396474202413495,14,-7,0,15,-4,0,0,14,-5,0,158,185,208,237
670,34903521,15,-4,0,0,0,0,-1,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,0,1,0,-48,-96,2032,-1,-1,0,0,158,181,211,237,524291,0,0,1,1,-0.053055888102345065,0.017340335945414568,4.396474778668134,14,-6,0,15,-4,0,0,15,-5,0,158,181,211,237
672,34904140,15,-4,0,0,0,0,0,-1,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,0,0,0,-48,-96,2032,-1,0,0,0,158,177,216,237,524291,0,0,1,1,-0.05303324890049663,0.017364544108424307,4.396474782568354,15,-5,0,15,-4,0,0,15,-4,0,158,177,216,237
674,34904756,16,-4,0,0,0,0,1,0,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,0,0,0,-45,-100,2031,-1,0,0,0,158,173,222,237,524291,0,0,1,1,-0.05301843384432958,0.01738293544397883,4.396474785120222,17,-4,0,15,-4,0,0,15,-4,0,158,173,222,237
676,34905373,16,-3,0,0,0,0,2,1,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,0,1,-45,-100,2031,0,-2,0,0,158,167,226,234,524291,0,0,1,1,-0.05301424932521496,0.0174017841462468,4.396464032483072,18,-2,0,15,-4,0,0,16,-4,-1,158,167,226,234
678,34905993,16,-3,0,0,0,0,3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,-1,1,-40,-102,2030,-1,-3,0,0,158,161,230,230,524291,0,0,1,1,-0.05301403107973564,0.017400336572569057,4.396452653381434,19,0,0,15,-4,0,0,16,-3,-1,158,161,230,230
680,34906608,16,-3,0,0,0,0,3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,-1,1,-40,-102,2030,-1,-2,0,0,159,158,233,228,524291,0,0,1,1,-0.053013751923893744,0.0173989576434625,4.396441366169563,19,0,0,15,-4,0,0,16,-3,-1,159,158,233,228
682,34907225,16,-2,-1,0,0,0,3,4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,-1,0,-37,-104,2029,1,0,0,0,162,158,235,227,524291,0,0,1,1,-0.05301757760928142,0.017391346361044658,4.396440796751834,19,2,-1,15,-4,0,0,16,-3,0,162,158,235,227
684,34907846,16,-2,-1,0,0,0,2,4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,-1,0,-37,-104,2029,1,0,0,0,163,158,234,225,524291,0,0,1,1,-0.053021473131389274,0.017383687906981724,4.396440223666363,18,2,-1,15,-4,0,0,16,-3,0,163,158,234,225
686,34908467,16,-2,0,0,0,0,1,4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,-1,-1,0,-36,-105,2027,1,0,0,0,162,158,229,222,524291,0,0,1,1,-0.05302743941354491,0.017374241086303505,4.39643965014997,17,2,0,15,-4,0,0,16,-3,0,162,158,229,222
688,34909078,15,-2,0,0,0,0,0,3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,0,-1,0,-36,-105,2027,2,1,0,0,159,158,219,216,524291,0,0,1,1,-0.05302259625524588,0.017365000815610585,4.396439085983453,15,1,0,15,-4,0,0,15,-3,0,159,158,219,216
690,34909695,15,-3,0,0,0,0,-1,2,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,0,-1,0,-40,-105,2027,1,1,0,0,158,162,212,215,524291,0,0,1,1,-0.05301778164463657,0.017363152660584833,4.396438516356731,14,-1,0,15,-4,0,0,15,-3,0,158,162,212,215
692,34910315,15,-3,0,0,0,0,-2,0,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,723,1,0,0,-40,-105,2027,1,2,0,0,158,169,207,218,524291,0,0,1,1,-0.053002225164954064,0.017372005497986006,4.396438517514901,13,-3,0,15,-4,0,0,14,-4,0,158,169,207,218
694,34910931,14,-4,0,0,0,0,-3,-1,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,0,0,-46,-105,2028,1,1,0,0,158,177,202,221,524291,0,0,1,1,-0.052986708485602836,0.017391923032108417,4.396438518671505,11,-5,0,15,-4,0,0,14,-4,0,158,177,202,221
696,34911546,14,-4,0,0,0,0,-3,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,0,0,-46,-105,2028,0,0,0,0,158,184,200,226,524291,0,0,1,1,-0.052971277676294885,0.01741172357873991,4.396438519811351,11,-7,0,15,-4,0,0,14,-4,0,158,184,200,226
698,34912167,14,-5,0,0,0,0,-3,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,1,0,-51,-104,2028,-1,2,0,0,158,190,200,232,524291,0,0,1,1,-0.05295397201568932,0.01745144429891929,4.396439095142278,11,-9,0,15,-4,0,0,14,-5,0,158,190,200,232
700,34912783,14,-5,0,0,0,0,-3,-5,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,1,0,-51,-104,2028,-1,3,0,0,158,194,203,238,524291,0,0,1,1,-0.05293683168100495,0.017490868787044006,4.3964396655818305,11,-10,0,15,-4,0,0,14,-5,0,158,194,203,238
702,34913401,15,-5,0,0,0,0,-2,-5,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,1,0,-51,-104,2026,-2,2,0,0,158,196,209,245,524291,0,0,1,1,-0.05291992909676346,0.01753018518864594,4.396440237557403,13,-10,0,15,-4,0,0,14,-5,0,158,196,209,245
704,34914020,15,-5,0,0,0,0,0,-5,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,0,1,0,-51,-104,2026,-2,0,0,0,158,197,215,252,524291,0,0,1,1,-0.052913848195647824,0.017569313092562357,4.3964408103179204,15,-10,0,15,-4,0,0,15,-5,0,158,197,215,252
706,34914635,15,-5,0,0,0,0,1,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,0,1,0,-48,-104,2027,-1,-1,0,0,158,195,221,256,524291,0,0,1,1,-0.052907705389369716,0.017602629943556904,4.396441379271529,16,-9,0,15,-4,0,0,15,-5,0,158,195,221,256
708,34915253,16,-5,0,0,0,0,2,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,1,0,-48,-104,2027,-1,-2,0,0,158,190,228,258,524291,0,0,1,1,-0.05291234418067517,0.017635828494221878,4.396441950980085,18,-8,0,15,-4,0,0,16,-5,0,158,190,228,258
710,34915873,16,-5,0,0,0,0,3,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,1,0,-42,-105,2028,-1,-1,0,0,158,183,233,257,524291,0,0,1,1,-0.05291874203333553,0.01765789362474634,4.396442524233879,19,-7,0,15,-4,0,0,16,-5,0,158,183,233,257
712,34916488,16,-4,0,0,0,0,4,0,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,0,0,-42,-105,2028,1,-1,0,0,158,176,234,251,524291,0,0,1,1,-0.05292502824148975,0.017669088132079507,4.396442524984553,20,-4,0,15,-4,0,0,16,-4,0,158,176,234,251
714,34917105,16,-4,0,0,0,0,3,1,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,0,0,-34,-106,2030,1,-2,0,0,158,168,234,243,524291,0,0,1,1,-0.05293296046284987,0.017665592112143132,4.396442525471241,19,-3,0,15,-4,0,0,16,-4,0,158,168,234,243
716,34917722,16,-3,0,0,0,0,3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,0,0,-34,-106,2030,1,-2,0,0,158,160,231,233,524291,0,0,1,1,-0.052940869153775855,0.017662116111088984,4.3964425259619295,19,0,0,15,-4,0,0,16,-4,0,158,160,231,233
718,34918342,16,-3,0,0,0,0,2,4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,-1,-1,0,-28,-106,2034,2,-1,0,0,162,158,229,225,524291,0,0,1,1,-0.0529484127263045,0.017636890195438112,4.396441953751832,18,1,0,15,-4,0,0,16,-3,0,162,158,229,225
720,34918958,15,-2,0,0,0,0,0,5,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,0,-1,0,-28,-106,2034,2,-1,0,0,166,158,226,218,524291,0,0,1,1,-0.05294515403415739,0.017611855900939572,4.39644138530429,15,3,0,15,-4,0,0,15,-3,0,166,158,226,218
722,34919575,15,-2,0,0,0,0,-1,5,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,0,-1,0,-26,-106,2038,1,0,0,0,167,158,221,212,524291,0,0,1,1,-0.05294153163302228,0.017583187675183635,4.3964408160799096,14,3,0,15,-4,0,0,15,-3,0,167,158,221,212
724,34920194,15,-2,0,0,0,0,-2,4,0,0,0,1,1,-1,1000,15,-4,0,0,1623,40,724,1,-1,0,-26,-106,2038,2,1,0,0,165,158,211,205,524291,0,0,1,1,-0.05292716597643378,0.017554626276719665,4.396440245190055,13,2,0,15,-4,0,0,14,-3,0,165,158,211,205
726,34920810,14,-3,0,0,0,0,-3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,40,724,1,-1,0,-28,-105,2042,1,2,0,0,160,158,201,199,524291,0,0,1,1,-0.05291073583881601,0.017529729388102773,4.396439677735428,11,0,0,15,-4,0,0,14,-3,0,160,158,201,199
728,34921427,14,-3,0,0,0,0,-4,2,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,1,0,0,-28,-105,2042,0,4,0,0,158,164,198,203,524291,0,0,1,1,-0.052894369950333,0.017515649100958763,4.396439679003129,10,-1,0,15,-4,0,0,14,-4,0,158,164,198,203
730,34922047,14,-4,0,0,0,0,-4,0,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,1,0,0,-32,-104,2044,-1,3,0,0,158,174,199,213,524291,0,0,1,1,-0.05287604480041625,0.017508750983274406,4.396439680693215,10,-4,0,15,-4,0,0,14,-4,0,158,174,199,213
732,34922662,14,-4,0,0,0,0,-3,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,1,1,0,-32,-104,2044,-1,1,0,0,158,183,202,225,524291,0,0,1,1,-0.05285789854276075,0.01751257144779532,4.39644024955245,11,-6,0,15,-4,0,0,14,-5,0,158,183,202,225
734,34923279,15,-5,0,0,0,0,-2,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,1,1,0,-32,-104,2044,-1,0,0,0,158,191,207,239,524291,0,0,1,1,-0.05283979857956721,0.017516426434672234,4.396440819964572,13,-9,0,15,-4,0,0,14,-5,0,158,191,207,239
736,34923897,15,-5,0,0,0,0,-1,-5,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,0,2,0,-37,-106,2043,-1,1,0,0,158,198,214,252,524291,0,0,1,1,-0.052836169040093806,0.01753995895311256,4.396441960144624,14,-10,0,15,-4,0,0,15,-6,0,158,198,214,252
738,34924523,15,-5,0,0,0,0,1,-6,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,0,2,0,-37,-106,2043,-2,2,0,0,158,201,221,262,524291,0,0,1,1,-0.05283256018666386,0.017563679835515447,4.396443114914205,16,-11,0,15,-4,0,0,15,-6,0,158,201,221,262
740,34925132,16,-5,0,0,0,0,2,-5,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,0,2,0,-38,-109,2042,-1,1,0,0,158,199,226,265,524291,0,0,1,1,-0.05283437838915253,0.017588519833401792,4.396444237434264,18,-10,0,15,-4,0,0,15,-6,0,158,199,226,265
742,34925749,16,-5,0,0,0,0,3,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,-1,1,0,-38,-109,2042,-1,-1,0,0,158,194,230,265,524291,0,0,1,1,-0.05284690649865687,0.01760282595239733,4.396444806104268,19,-9,0,15,-4,0,0,16,-5,0,158,194,230,265
744,34926368,16,-5,0,0,0,0,3,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,724,-1,1,0,-36,-113,2042,-1,-2,0,0,158,186,233,261,524291,0,0,1,1,-0.052866477969315234,0.017613569149189014,4.396445375956372,19,-8,0,15,-4,0,0,16,-5,0,158,186,233,261
746,34926984,16,-4,0,0,0,0,3,-1,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,1,-1,-36,-113,2042,0,-1,0,0,158,177,232,253,524291,0,0,1,1,-0.052886098165740275,0.017623655397244028,4.396456681218879,19,-5,0,15,-4,0,0,16,-5,1,158,177,232,253
748,34927602,16,-4,0,0,0,0,3,1,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,0,0,-32,-115,2044,1,-1,0,0,158,168,229,241,524291,0,0,1,1,-0.052908795952011436,0.017616471459745382,4.396456679951436,19,-3,0,15,-4,0,0,16,-4,0,158,168,229,241
750,34928222,16,-3,0,0,0,0,2,3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,0,0,-32,-115,2044,2,-2,0,0,158,159,226,228,524291,0,0,1,1,-0.052931423846827905,0.017609327251735255,4.3964566786951575,18,0,0,15,-4,0,0,16,-4,0,158,159,226,228
752,34928838,16,-3,0,0,0,0,1,4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,0,-29,-116,2047,2,-3,0,0,165,158,227,222,524291,0,0,1,1,-0.05294462791261365,0.017586173120672746,4.39645610824934,17,1,0,15,-4,0,0,15,-3,0,165,158,227,222
754,34929455,15,-2,0,0,0,0,0,5,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,0,-29,-116,2047,2,-1,0,0,169,158,226,216,524291,0,0,1,1,-0.052957759141923265,0.017563108609637643,4.396455536605489,15,3,0,15,-4,0,0,15,-3,0,169,158,226,216
756,34930074,15,-2,0,0,0,0,-1,5,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,0,-27,-116,2049,1,1,0,0,170,158,221,209,524291,0,0,1,1,-0.05297063317527386,0.017536562764164737,4.3964549628685115,14,3,0,15,-4,0,0,15,-3,0,170,158,221,209
758,34930690,15,-2,0,0,0,0,-2,5,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,1,-1,0,-27,-116,2049,1,1,0,0,168,158,215,203,524291,0,0,1,1,-0.0529727237561483,0.017510194163376756,4.396454391747573,13,3,0,15,-4,0,0,14,-3,0,168,158,215,203
760,34931306,14,-2,0,0,0,0,-3,4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,1,-1,1,-27,-115,2049,0,0,0,0,163,158,207,199,524291,0,0,1,1,-0.05297285786841796,0.017484518264823782,4.396443082962098,11,2,0,15,-4,0,0,14,-3,-1,163,158,207,199
762,34931926,14,-3,0,0,0,0,-3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,1,-1,1,-27,-115,2049,-1,0,0,0,158,159,201,199,524291,0,0,1,1,-0.052972899860202254,0.01745889757419745,4.396431700652041,11,0,0,15,-4,0,0,14,-3,-1,158,159,201,199
764,34932542,14,-3,-1,0,0,0,-3,1,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,1,-1,1,-27,-114,2048,-2,1,0,0,158,167,205,209,524291,0,0,1,1,-0.05297135296645177,0.01743349472130283,4.396420391957838,11,-2,-1,15,-4,0,0,14,-3,-1,158,167,205,209
766,34933159,15,-4,-1,0,0,0,-2,0,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,1,0,0,-27,-114,2048,-2,2,0,0,158,175,209,221,524291,0,0,1,1,-0.05296997300822764,0.017418341687636216,4.396420390282233,13,-4,-1,15,-4,0,0,14,-4,0,158,175,209,221
768,34933779,15,-4,0,0,0,0,-1,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,0,0,-26,-114,2050,-1,2,0,0,158,182,214,234,524291,0,0,1,1,-0.052979127966191364,0.01740148477280716,4.396420388650683,14,-6,0,15,-4,0,0,15,-4,0,158,182,214,234
770,34934397,15,-4,0,0,0,0,1,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,1,0,-26,-114,2050,-1,1,0,0,158,187,220,247,524291,0,0,1,1,-0.05298824325332397,0.017395452032854506,4.396420958385257,16,-7,0,15,-4,0,0,15,-5,0,158,187,220,247
772,34935012,16,-5,0,0,0,0,2,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,1,0,-23,-114,2054,-1,0,0,0,158,190,225,256,524291,0,0,1,1,-0.05299694479786733,0.01738414178484599,4.396421525613274,18,-9,0,15,-4,0,0,15,-5,0,158,190,225,256
774,34935629,16,-5,0,0,0,0,2,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,1,-1,-23,-114,2054,0,0,0,0,158,191,227,261,524291,0,0,1,1,-0.05301651643808193,0.017372378866432624,4.3964328501794405,18,-9,0,15,-4,0,0,16,-5,1,158,191,227,261
776,34936249,16,-5,0,0,0,0,3,-4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,1,-1,-20,-115,2057,0,-1,0,0,158,188,229,262,524291,0,0,1,1,-0.05303749475443929,0.01735551733782124,4.396444229912969,19,-9,0,15,-4,0,0,16,-5,1,158,188,229,262
778,34936864,16,-4,0,0,0,0,3,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,1,-1,-20,-115,2057,0,-1,0,0,158,185,229,258,524291,0,0,1,1,-0.05305829185595389,0.01733868321933433,4.396455518179727,19,-7,0,15,-4,0,0,16,-5,1,158,185,229,258
780,34937481,16,-4,0,0,0,0,2,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,0,-1,-16,-115,2059,1,-2,0,0,158,179,226,250,524291,0,0,1,1,-0.0530788415756016,0.01730438925172672,4.396466272092168,18,-6,0,15,-4,0,0,16,-4,1,158,179,226,250
782,34938101,16,-4,0,0,0,0,2,0,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,-1,0,0,-16,-115,2059,0,-1,0,0,158,172,223,240,524291,0,0,1,1,-0.05309916765973998,0.017270847470145456,4.396466270878563,18,-4,0,15,-4,0,0,16,-4,0,158,172,223,240
784,34938715,16,-3,0,0,0,0,1,1,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,0,0,-12,-116,2057,0,0,0,0,158,165,220,229,524291,0,0,1,1,-0.053110500969039964,0.017230740371412038,4.3964662694315395,17,-2,0,15,-4,0,0,15,-4,0,158,165,220,229
786,34939333,15,-3,0,0,0,0,0,2,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,0,-12,-116,2057,0,0,0,0,158,161,217,219,524291,0,0,1,1,-0.053121763981597306,0.017180113937177048,4.3964656951985015,15,-1,0,15,-4,0,0,15,-3,0,158,161,217,219
788,34939951,15,-3,0,0,0,0,-1,3,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,1,-10,-117,2052,0,-1,0,0,159,158,215,213,524291,0,0,1,1,-0.05313492513501432,0.017127062758174556,4.396454347919628,14,0,0,15,-4,0,0,15,-3,-1,159,158,215,213
790,34940568,15,-2,0,0,0,0,-1,4,0,0,0,1,1,-1,1000,15,-4,0,0,1619,32,725,0,-1,1,-10,-117,2052,0,-2,0,0,161,158,216,210,524291,0,0,1,1,-0.05314801718103989,0.01707429037835474,4.396443018758464,14,2,0,15,-4,0,0,15,-3,-1,161,158,216,210
792,34941186,15,-2,-1,0,0,0,-1,4,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,-1,1,-10,-118,2047,0,-1,0,0,161,158,215,208,524291,0,0,1,1,-0.05316317490105987,0.01702190382248613,4.396431670636676,14,2,-1,15,-4,0,0,15,-3,-1,161,158,215,208
794,34941803,15,-3,-1,0,0,0,-1,3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,-1,1,-10,-118,2047,0,1,0,0,159,158,213,208,524291,0,0,1,1,-0.05317825357376313,0.016969790601758978,4.396420340595088,14,0,-1,15,-4,0,0,15,-3,-1,159,158,213,208
796,34942423,15,-3,-1,0,0,0,-1,2,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,-1,0,-14,-119,2043,1,2,0,0,158,161,212,211,524291,0,0,1,1,-0.05319547325492393,0.01692415036660426,4.396419762084909,14,-1,-1,15,-4,0,0,15,-3,0,158,161,212,211
798,34943039,15,-3,0,0,0,0,-1,1,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,-1,0,-14,-119,2043,1,1,0,0,158,166,212,216,524291,0,0,1,1,-0.05321260322704862,0.016878798314033185,4.396419186934767,14,-2,0,15,-4,0,0,15,-3,0,158,166,212,216
800,34943656,15,-3,0,0,0,0,-1,0,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,0,0,-19,-118,2039,0,0,0,0,158,171,211,222,524291,0,0,1,1,-0.05322833627716465,0.016852857395796363,4.396419183787623,14,-3,0,15,-4,0,0,15,-4,0,158,171,211,222
802,34944276,15,-4,0,0,0,0,-1,-1,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,725,0,0,0,-19,-118,2039,1,0,0,0,158,176,210,228,524291,0,0,1,1,-0.053243987897688985,0.01682705071339646,4.3964191806567445,14,-5,0,15,-4,0,0,15,-4,0,158,176,210,228
804,34944891,15,-4,0,0,0,0,-1,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,1,0,-1,-24,-118,2037,1,1,0,0,158,181,209,233,524291,0,0,1,1,-0.053249219159896236,0.016809215622482367,4.396429897564813,14,-6,0,15,-4,0,0,14,-4,1,158,181,209,233
806,34945508,15,-4,0,0,0,0,-1,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,1,1,-1,-24,-118,2037,0,1,0,0,158,184,209,237,524291,0,0,1,1,-0.05325438044837331,0.016802186215372005,4.39644122261493,14,-7,0,15,-4,0,0,14,-5,1,158,184,209,237
808,34946128,15,-4,0,0,0,0,-1,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,1,1,-1,-24,-118,2037,0,1,0,0,158,186,209,240,524291,0,0,1,1,-0.053259445542222644,0.016795259832628404,4.396452602961517,14,-7,0,15,-4,0,0,14,-5,1,158,186,209,240
810,34946744,15,-5,0,0,0,0,-1,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,0,1,0,-25,-119,2036,-1,0,0,0,158,187,211,242,524291,0,0,1,1,-0.05327681774394714,0.016790579043596276,4.396453172410348,14,-8,0,15,-4,0,0,15,-5,0,158,187,211,242
812,34947361,15,-4,0,0,0,0,0,-3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,0,1,0,-25,-119,2036,-2,-1,0,0,158,185,214,243,524291,0,0,1,1,-0.053294101265637654,0.01678595800438605,4.39645374317602,15,-7,0,15,-4,0,0,15,-5,0,158,185,214,243
814,34947981,15,-4,0,0,0,0,1,-2,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,0,0,0,-26,-122,2037,-2,-1,0,0,158,181,219,243,524291,0,0,1,1,-0.05331616092854723,0.016772285614722045,4.3964537396419,16,-6,0,15,-4,0,0,15,-4,0,158,181,219,243
816,34948596,16,-4,0,0,0,0,2,-1,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,0,0,-26,-122,2037,-2,-2,0,0,158,177,224,243,524291,0,0,1,1,-0.05334880592262569,0.016758682763352684,4.396453736131584,18,-5,0,15,-4,0,0,16,-4,0,158,177,224,243
818,34949213,16,-4,0,0,0,0,2,0,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,0,0,-25,-125,2037,-2,-1,0,0,158,172,229,242,524291,0,0,1,1,-0.0533862834012765,0.016743494270873398,4.396453731851959,18,-4,0,15,-4,0,0,16,-4,0,158,172,229,242
820,34949831,16,-3,0,0,0,0,3,1,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,0,0,-25,-125,2037,-1,-1,0,0,158,167,232,239,524291,0,0,1,1,-0.05342360678240764,0.016728382682226314,4.396453727599849,19,-2,0,15,-4,0,0,16,-4,0,158,167,232,239
822,34950448,16,-3,0,0,0,0,3,2,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,-1,1,-22,-127,2037,0,0,0,0,158,162,233,235,524291,0,0,1,1,-0.05346383917897811,0.016698266567334145,4.396442392513128,19,-1,0,15,-4,0,0,16,-3,-1,158,162,233,235
824,34951066,16,-3,0,0,0,0,3,3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,-1,1,-22,-127,2037,0,-1,0,0,158,158,233,230,524291,0,0,1,1,-0.05350390400912201,0.016668269081800698,4.3964310383934935,19,0,0,15,-4,0,0,16,-3,-1,158,158,233,230
826,34951683,16,-3,0,0,0,0,2,3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,-1,-1,0,-20,-126,2039,1,-1,0,0,159,158,230,226,524291,0,0,1,1,-0.05354213421204145,0.016634516920046694,4.396430457062099,18,0,0,15,-4,0,0,16,-3,0,159,158,230,226
828,34952302,16,-3,0,0,0,0,1,3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,0,-1,0,-20,-126,2039,2,0,0,0,158,158,223,220,524291,0,0,1,1,-0.05356945766769821,0.01660088155343592,4.396429873298994,17,0,0,15,-4,0,0,15,-3,0,158,158,223,220
830,34952919,15,-3,0,0,0,0,0,3,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,0,-1,0,-20,-122,2042,3,0,0,0,158,159,216,214,524291,0,0,1,1,-0.05358985474792473,0.016567356215697757,4.3964292922935675,15,0,0,15,-4,0,0,15,-3,0,158,159,216,214
832,34953535,15,-3,0,0,0,0,-2,2,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,1,-1,0,-20,-122,2042,3,0,0,0,158,161,208,209,524291,0,0,1,1,-0.05359943424205412,0.016533998266386834,4.396428711915368,13,-1,0,15,-4,0,0,14,-3,0,158,161,208,209
834,34954153,14,-3,0,0,0,0,-3,1,0,0,0,1,1,-1,1000,15,-4,0,0,1621,35,726,1,-1,0,-21,-116,2044,2,1,0,0,158,165,201,207,524291,0,0,1,1,-0.053598981140105036,0.01650233757715636,4.396428131690986,11,-2,0,15,-4,0,0,14,-3,0,158,165,201,207
